Participant_ID,Program,Start_Date,Duration_Days,End_Date,Hours_Trained,Completion_Status,Outcome_Score
416,Job Readiness,2024-02-21,35,2024-03-27,60,Complete,99
417,Technical Skills,2024-05-16,45,2024-06-30,62,Complete,89
418,Technical Skills,2024-04-08,10,2024-04-18,45,Complete,70
419,Career Coaching,2024-06-17,17,2024-07-04,35,Incomplete,77
420,Technical Skills,2024-12-05,58,2025-02-01,38,Complete,60
421,Career Coaching,2024-05-27,44,2024-07-10,30,Complete,83
422,Job Readiness,2024-07-13,24,2024-08-06,20,Complete,57
423,Job Readiness,2024-05-12,56,2024-07-07,49,Complete,71
424,Job Readiness,2024-06-27,31,2024-07-28,20,Complete,57
425,Job Readiness,2024-06-12,23,2024-07-05,45,Complete,98
426,Career Coaching,2024-07-11,35,2024-08-15,68,Incomplete,64
427,Technical Skills,2024-05-18,37,2024-06-24,48,Complete,66
428,Job Readiness,2024-06-10,32,2024-07-12,63,Complete,72
429,Technical Skills,2024-03-09,23,2024-04-01,64,Incomplete,73
430,Career Coaching,2024-12-29,33,2025-01-31,33,Complete,94
431,Career Coaching,2024-10-30,11,2024-11-10,31,Complete,68
432,Career Coaching,2024-08-23,54,2024-10-16,78,Complete,54
433,Job Readiness,2024-11-30,35,2025-01-04,65,Incomplete,81
434,Technical Skills,2024-06-01,23,2024-06-24,42,Incomplete,93
435,Technical Skills,2024-10-08,16,2024-10-24,45,Incomplete,50
436,Technical Skills,2024-08-07,12,2024-08-19,29,Complete,72
437,Career Coaching,2024-01-03,56,2024-02-28,92,Incomplete,86
438,Job Readiness,2024-06-24,32,2024-07-26,90,Incomplete,57
439,Career Coaching,2024-11-15,55,2025-01-09,71,Complete,62
440,Career Coaching,2024-06-23,52,2024-08-14,82,Incomplete,57
441,Technical Skills,2024-09-20,56,2024-11-15,35,Incomplete,72
442,Career Coaching,2024-06-09,54,2024-08-02,75,Complete,92
443,Technical Skills,2024-11-05,27,2024-12-02,82,Complete,50
444,Job Readiness,2024-05-29,47,2024-07-15,82,Complete,94
445,Technical Skills,2024-09-23,44,2024-11-06,49,Complete,73
446,Job Readiness,2024-04-13,24,2024-05-07,26,Complete,84
447,Technical Skills,2024-12-11,34,2025-01-14,10,Complete,73
448,Career Coaching,2024-01-30,46,2024-03-16,98,Incomplete,66
449,Career Coaching,2024-10-20,37,2024-11-26,70,Incomplete,54
450,Job Readiness,2024-05-16,19,2024-06-04,52,Incomplete,69
451,Job Readiness,2024-09-05,48,2024-10-23,51,Complete,70
452,Job Readiness,2024-09-16,26,2024-10-12,34,Complete,89
453,Technical Skills,2024-03-29,48,2024-05-16,48,Complete,80
454,Technical Skills,2024-04-08,31,2024-05-09,44,Complete,95
455,Job Readiness,2024-03-08,35,2024-04-12,12,Incomplete,85
456,Career Coaching,2024-04-02,53,2024-05-25,53,Incomplete,60
457,Technical Skills,2024-10-27,34,2024-11-30,60,Complete,64
458,Technical Skills,2024-09-02,26,2024-09-28,21,Incomplete,68
459,Technical Skills,2024-05-20,22,2024-06-11,28,Incomplete,56
460,Job Readiness,2024-09-11,29,2024-10-10,53,Complete,77
461,Job Readiness,2024-01-08,34,2024-02-11,68,Incomplete,92
462,Job Readiness,2024-06-01,13,2024-06-14,58,Complete,54
463,Job Readiness,2024-12-12,19,2024-12-31,70,Complete,54
464,Job Readiness,2024-11-03,12,2024-11-15,26,Complete,79
465,Career Coaching,2024-01-15,50,2024-03-05,83,Complete,81
466,Career Coaching,2024-02-28,54,2024-04-22,66,Complete,57
467,Job Readiness,2024-01-28,27,2024-02-24,64,Complete,59
468,Technical Skills,2024-02-05,56,2024-04-01,56,Complete,87
469,Job Readiness,2024-03-15,45,2024-04-29,21,Complete,96
470,Career Coaching,2024-10-20,56,2024-12-15,71,Complete,81
471,Career Coaching,2024-08-14,31,2024-09-14,89,Complete,97
472,Technical Skills,2024-03-16,43,2024-04-28,97,Complete,77
473,Career Coaching,2024-03-04,56,2024-04-29,92,Complete,66
474,Job Readiness,2024-04-09,17,2024-04-26,17,Complete,80
475,Technical Skills,2024-10-01,49,2024-11-19,30,Complete,57
476,Job Readiness,2024-11-08,58,2025-01-05,90,Complete,89
477,Job Readiness,2024-02-07,53,2024-03-31,96,Complete,74
478,Technical Skills,2024-08-20,28,2024-09-17,89,Incomplete,58
479,Job Readiness,2024-03-06,51,2024-04-26,79,Complete,51
480,Career Coaching,2024-11-11,50,2024-12-31,81,Complete,64
481,Job Readiness,2024-03-18,46,2024-05-03,34,Incomplete,99
482,Technical Skills,2024-12-23,15,2025-01-07,91,Incomplete,52
483,Technical Skills,2024-01-11,35,2024-02-15,98,Incomplete,98
484,Technical Skills,2024-02-07,43,2024-03-21,21,Incomplete,85
485,Job Readiness,2024-12-13,54,2025-02-05,24,Complete,53
486,Technical Skills,2024-09-17,15,2024-10-02,68,Complete,63
487,Technical Skills,2024-06-16,46,2024-08-01,35,Complete,90
488,Job Readiness,2024-09-03,42,2024-10-15,35,Complete,90
489,Career Coaching,2024-04-21,31,2024-05-22,56,Complete,74
490,Job Readiness,2024-07-28,30,2024-08-27,41,Complete,99
491,Technical Skills,2024-12-25,15,2025-01-09,19,Complete,59
492,Technical Skills,2024-01-28,15,2024-02-12,25,Complete,70
493,Job Readiness,2024-06-20,57,2024-08-16,80,Complete,85
494,Career Coaching,2024-01-27,13,2024-02-09,26,Complete,61
495,Technical Skills,2024-12-17,39,2025-01-25,32,Incomplete,76
496,Technical Skills,2024-05-18,20,2024-06-07,35,Complete,89
497,Technical Skills,2024-06-14,39,2024-07-23,94,Incomplete,51
498,Job Readiness,2024-10-15,40,2024-11-24,95,Complete,62
499,Technical Skills,2024-02-25,33,2024-03-29,16,Incomplete,81
500,Career Coaching,2024-09-23,18,2024-10-11,23,Complete,80
